model,saved_threshold,accuracy_threshold,f1_threshold,test_roc_auc,accuracy_threshold_accuracy,accuracy_threshold_precision,accuracy_threshold_recall,accuracy_threshold_f1,f1_threshold_accuracy,f1_threshold_precision,f1_threshold_recall,f1_threshold_f1,saved_accuracy,saved_precision,saved_recall,saved_f1
Random Forest,0.52,0.7300000000000004,0.5000000000000002,0.8236666666666667,0.805,0.6486486486486487,0.48,0.5517241379310345,0.7,0.4411764705882353,0.75,0.5555555555555556,0.7125,0.453416149068323,0.73,0.5593869731800766
XGBoost,0.5600000000000003,0.7400000000000004,0.5300000000000002,0.8220666666666667,0.8025,0.6206896551724138,0.54,0.5775401069518716,0.715,0.45625,0.73,0.5615384615384615,0.725,0.4675324675324675,0.72,0.5669291338582677
CatBoost,0.2900000000000001,0.5000000000000002,0.2900000000000001,0.8271333333333334,0.8025,0.6265060240963856,0.52,0.5683060109289617,0.7425,0.4897959183673469,0.72,0.582995951417004,0.7425,0.4897959183673469,0.72,0.582995951417004
LightGBM,0.2900000000000001,0.5300000000000002,0.2900000000000001,0.8313333333333333,0.7975,0.6461538461538462,0.42,0.509090909090909,0.7075,0.4491017964071856,0.75,0.5617977528089888,0.7075,0.4491017964071856,0.75,0.5617977528089888
